timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1667907880145,960,Request1,200,OK,Thread Group 1-1,text,true,,18168,230,10,10,https://www.google.com/,499,0,240
1667907880145,499,Request1-0,301,Moved Permanently,Thread Group 1-1,text,true,,703,113,10,10,https://google.com/,499,0,240
1667907880645,460,Request1-1,200,OK,Thread Group 1-1,text,true,,17465,117,10,10,https://www.google.com/,449,0,140
1667907880248,951,Request1,200,OK,Thread Group 1-2,text,true,,18212,230,9,9,https://www.google.com/,462,0,181
1667907880248,462,Request1-0,301,Moved Permanently,Thread Group 1-2,text,true,,703,113,9,9,https://google.com/,462,0,181
1667907880711,488,Request1-1,200,OK,Thread Group 1-2,text,true,,17509,117,9,9,https://www.google.com/,454,0,120
1667907880348,948,Request1,200,OK,Thread Group 1-3,text,true,,18201,230,8,8,https://www.google.com/,390,0,132
1667907880348,390,Request1-0,301,Moved Permanently,Thread Group 1-3,text,true,,703,113,8,8,https://google.com/,390,0,132
1667907880739,557,Request1-1,200,OK,Thread Group 1-3,text,true,,17498,117,8,8,https://www.google.com/,510,0,145
1667907880448,978,Request1,200,OK,Thread Group 1-4,text,true,,18175,230,7,7,https://www.google.com/,381,0,126
1667907880448,381,Request1-0,301,Moved Permanently,Thread Group 1-4,text,true,,703,113,7,7,https://google.com/,381,0,126
1667907880830,596,Request1-1,200,OK,Thread Group 1-4,text,true,,17472,117,7,7,https://www.google.com/,541,0,165
1667907880548,895,Request1,200,OK,Thread Group 1-5,text,true,,18268,230,6,6,https://www.google.com/,458,0,183
1667907880548,458,Request1-0,301,Moved Permanently,Thread Group 1-5,text,true,,703,113,6,6,https://google.com/,458,0,183
1667907881008,435,Request1-1,200,OK,Thread Group 1-5,text,true,,17565,117,6,6,https://www.google.com/,427,0,120
1667907880649,957,Request1,200,OK,Thread Group 1-6,text,true,,18175,230,5,5,https://www.google.com/,422,0,152
1667907880649,422,Request1-0,301,Moved Permanently,Thread Group 1-6,text,true,,703,113,5,5,https://google.com/,422,0,152
1667907881073,533,Request1-1,200,OK,Thread Group 1-6,text,true,,17472,117,5,5,https://www.google.com/,509,0,163
1667907880748,927,Request1,200,OK,Thread Group 1-7,text,true,,18189,230,4,4,https://www.google.com/,380,0,124
1667907880748,380,Request1-0,301,Moved Permanently,Thread Group 1-7,text,true,,703,113,4,4,https://google.com/,380,0,124
1667907881130,545,Request1-1,200,OK,Thread Group 1-7,text,true,,17486,117,4,4,https://www.google.com/,529,0,162
1667907880949,811,Request1,200,OK,Thread Group 1-9,text,true,,18138,230,3,3,https://www.google.com/,381,0,132
1667907880949,381,Request1-0,301,Moved Permanently,Thread Group 1-9,text,true,,703,113,3,3,https://google.com/,381,0,132
1667907881332,428,Request1-1,200,OK,Thread Group 1-9,text,true,,17435,117,3,3,https://www.google.com/,420,0,119
1667907880848,984,Request1,200,OK,Thread Group 1-8,text,true,,18154,230,2,2,https://www.google.com/,426,0,158
1667907880848,426,Request1-0,301,Moved Permanently,Thread Group 1-8,text,true,,703,113,2,2,https://google.com/,426,0,158
1667907881276,556,Request1-1,200,OK,Thread Group 1-8,text,true,,17451,117,2,2,https://www.google.com/,504,0,162
1667907881050,932,Request1,200,OK,Thread Group 1-10,text,true,,18203,230,1,1,https://www.google.com/,437,0,164
1667907881050,437,Request1-0,301,Moved Permanently,Thread Group 1-10,text,true,,703,113,1,1,https://google.com/,437,0,164
1667907881488,494,Request1-1,200,OK,Thread Group 1-10,text,true,,17500,117,1,1,https://www.google.com/,461,0,118
